batch_index,batch_size,site_position,site_id,site,domain,previous_sitemap,sitemap_url,discovery_stage,reason,decision,crawl_complete,urls_count,pass_name,checked
4,2000,6001,eref-158472,https://www.buerscroixluizet.fr/,buerscroixluizet.fr,,https://www.buerscroixluizet.fr/sitemap_index.xml,robots.txt,ok,ok,True,11,pass-1,http://buerscroixluizet.fr/robots.txt; https://www.buerscroixluizet.fr/sitemap_index.xml
4,2000,6001,eref-190720,https://cabuzel.com,cabuzel.com,,http://cabuzel.com/sitemap_index.xml,robots.txt,invalid_xml,retry_later,False,0,pass-2,http://cabuzel.com/robots.txt; http://cabuzel.com/sitemap_index.xml
4,2000,6002,eref-73821,https://buffons.net,buffons.net,,https://buffons.net/sitemap_index.xml,robots.txt,ok,ok,True,233,pass-1,http://buffons.net/robots.txt; https://buffons.net/sitemap_index.xml
4,2000,6002,eref-40116,https://www.cabinetelendil.be/,cabinetelendil.be,,https://cabinetelendil.be/sitemap.xml,common_path,sslerror,retry_later,False,0,pass-2,http://cabinetelendil.be/robots.txt; http://www.cabinetelendil.be/robots.txt; https://cabinetelendil.be/robots.txt; https://www.cabinetelendil.be/robots.txt; http://cabinetelendil.be/sitemap.xml
4,2000,6003,eref-157617,https://bugatti100p.com/,bugatti100p.com,,https://bugatti100p.com/sitemap_index.xml,robots.txt,ok,ok,True,246,pass-1,http://www.bugatti100p.com/robots.txt; https://bugatti100p.com/sitemap_index.xml
4,2000,6003,eref-54791,https://www.camer.be,camer.be,,https://www.camer.be/sitemapindex,robots.txt,unsupported_xml_root,retry_later,False,21,pass-2,http://www.camer.be/robots.txt; https://www.camer.be/sitemapindex
4,2000,6004,eref-98442,https://bugeymobilite.fr,bugeymobilite.fr,,https://bugeymobilite.fr/sitemap_index.xml,robots.txt,ok,ok,True,178,pass-1,http://bugeymobilite.fr/robots.txt; https://bugeymobilite.fr/sitemap_index.xml
4,2000,6004,eref-166092,https://www.cabinetfontaine.fr/,cabinetfontaine.fr,,https://www.cabinetfontaine.fr/catalog/sitemaps.php,robots.txt,invalid_xml,retry_later,False,1673,pass-2,http://www.cabinetfontaine.fr/robots.txt; https://www.cabinetfontaine.fr/catalog/sitemaps.php
4,2000,6005,eref-212846,https://buginit.com,buginit.com,,https://www.buginit.com/sitemap.xml,common_path,ok,ok,True,87,pass-1,http://www.buginit.com/robots.txt; https://buginit.com/sitemap.xml; http://buginit.com/robots.txt; https://buginit.com/sitemap.xml; https://www.buginit.com/robots.txt; https://buginit.com/sitemap.xml; https://buginit.com/robots.txt; https://buginit.com/sitemap.xml; http://www.buginit.com/sitemap.xml
4,2000,6005,eref-20074,https://caneyllegourmandises.fr,caneyllegourmandises.fr,,https://www.caneyllegourmandises.fr/sitemap_index.xml,common_path,sslerror,retry_later,False,0,pass-2,http://caneyllegourmandises.fr/robots.txt; http://www.caneyllegourmandises.fr/robots.txt; https://caneyllegourmandises.fr/robots.txt; https://www.caneyllegourmandises.fr/robots.txt; http://caneyllegourmandises.fr/sitemap.xml; http://caneyllegourmandises.fr/sitemap.xml.gz; http://caneyllegourmandises.fr/sitemap_index.xml; http://caneyllegourmandises.fr/sitemap-index.xml; http://caneyllegourmandises.fr/sitemapindex.xml; http://caneyllegourmandises.fr/wp-sitemap.xml; http://caneyllegourmandises.fr/sitemaps.xml; http://caneyllegourmandises.fr/sitemap.php; http://caneyllegourmandises.fr/sitemap/sitemap.xml; http://caneyllegourmandises.fr/sitemap/index.xml; http://caneyllegourmandises.fr/index.php/sitemap.xml; http://caneyllegourmandises.fr/index.php/sitemap.xml.gz; http://caneyllegourmandises.fr/index.php/sitemap_index.xml; http://caneyllegourmandises.fr/post-sitemap.xml; http://caneyllegourmandises.fr/page-sitemap.xml; http://caneyllegourmandises.fr/article-sitemap.xml; http://caneyllegourmandises.fr/news-sitemap.xml; http://caneyllegourmandises.fr/product-sitemap.xml; http://caneyllegourmandises.fr/category-sitemap.xml; http://www.caneyllegourmandises.fr/sitemap.xml; http://www.caneyllegourmandises.fr/sitemap.xml.gz; http://www.caneyllegourmandises.fr/sitemap_index.xml
