batch_index,batch_size,site_position,site_id,site,domain,previous_sitemap,sitemap_url,discovery_stage,reason,decision,crawl_complete,urls_count,pass_name,checked
1,2000,1,eref-280531,https://www.0-100-ans.com,0-100-ans.com,https://www.0-100-ans.com/sitemap_index.xml,https://www.0-100-ans.com/sitemap_index.xml,known_sitemap,ok,ok,True,328,pass-1,https://www.0-100-ans.com/sitemap_index.xml
1,2000,1,eref-230894,https://24heureinfo.com/,24heureinfo.com,,https://www.24heureinfo.com/sitemap_index.xml,common_path,invalid_xml,retry_later,False,0,pass-2,https://www.24heureinfo.com/robots.txt; https://24heureinfo.com/sitemap_index.xml; https://24heureinfo.com/robots.txt; http://www.24heureinfo.com/robots.txt; https://24heureinfo.com/sitemap_index.xml; http://24heureinfo.com/robots.txt; https://www.24heureinfo.com/sitemap.xml; https://www.24heureinfo.com/sitemap.xml.gz; https://www.24heureinfo.com/sitemap_index.xml
1,2000,2,eref-243408,https://www.0-5ans.fr/,0-5ans.fr,https://www.0-5ans.fr/sitemap_index.xml,https://www.0-5ans.fr/sitemap_index.xml,known_sitemap,ok,ok,True,122,pass-1,https://www.0-5ans.fr/sitemap_index.xml
1,2000,2,eref-50396,http://www.3-4jours.com,3-4jours.com,,https://www.3-4jours.com/sitemap_index.xml,robots.txt,ok,ok,True,191,pass-2,https://3-4jours.com/robots.txt; https://www.3-4jours.com/sitemap_index.xml
1,2000,3,eref-293813,https://0-gluten.be/,0-gluten.be,https://0-gluten.be/sitemap_index.xml,https://0-gluten.be/sitemap_index.xml,known_sitemap,ok,ok,True,62,pass-1,https://0-gluten.be/sitemap_index.xml
1,2000,3,eref-39744,http://www.3btourisme.com,3btourisme.com,,https://www.3btourisme.com/sitemap_index.xml,robots.txt,ok,ok,True,299,pass-2,https://3btourisme.com/robots.txt; https://www.3btourisme.com/sitemap_index.xml
1,2000,4,eref-293814,https://0-lactose.be,0-lactose.be,https://www.0-lactose.be/wp-sitemap.xml,https://www.0-lactose.be/wp-sitemap.xml,known_sitemap,ok,ok,True,69,pass-1,https://www.0-lactose.be/wp-sitemap.xml
1,2000,4,eref-296973,https://12actu.com,12actu.com,,https://www.12actu.com/sitemap-index.xml,robots.txt,ok,ok,True,5300,pass-2,https://12actu.com/robots.txt; https://www.12actu.com/robots.txt; https://www.12actu.com/sitemap-index.xml
1,2000,5,eref-29162,https://www.01-annuaire-liens-durs.com/,01-annuaire-liens-durs.com,https://01-annuaire-liens-durs.com/sitemap_index.xml,https://01-annuaire-liens-durs.com/sitemap_index.xml,known_sitemap,ok,ok,True,757,pass-1,https://01-annuaire-liens-durs.com/sitemap_index.xml
1,2000,5,eref-190699,https://386a.net,386a.net,,,no_sitemap_found,no_sitemap_found,exclude_candidate,False,0,pass-2,https://www.386a.net/robots.txt; https://386a.net/sitemap_index.xml; https://386a.net/robots.txt; https://386a.net/sitemap_index.xml; http://www.386a.net/robots.txt; https://386a.net/sitemap_index.xml; http://386a.net/robots.txt; https://386a.net/sitemap_index.xml; https://www.386a.net/sitemap.xml; https://www.386a.net/sitemap.xml.gz; https://www.386a.net/sitemap_index.xml; https://www.386a.net/sitemap-index.xml; https://www.386a.net/sitemapindex.xml; https://www.386a.net/wp-sitemap.xml; https://www.386a.net/sitemaps.xml; https://www.386a.net/sitemap.php; https://www.386a.net/sitemap/sitemap.xml; https://www.386a.net/sitemap/index.xml; https://www.386a.net/index.php/sitemap.xml; https://www.386a.net/index.php/sitemap.xml.gz; https://www.386a.net/index.php/sitemap_index.xml; https://www.386a.net/post-sitemap.xml; https://www.386a.net/page-sitemap.xml; https://www.386a.net/article-sitemap.xml; https://www.386a.net/news-sitemap.xml; https://www.386a.net/product-sitemap.xml; https://www.386a.net/category-sitemap.xml; https://386a.net/sitemap.xml; https://386a.net/sitemap.xml.gz; https://386a.net/sitemap_index.xml
