batch_index,batch_size,site_position,site_id,site,domain,previous_sitemap,sitemap_url,discovery_stage,reason,decision,crawl_complete,urls_count,pass_name,checked
2,2000,2936,eref-42582,http://www.asso-voyance.com,asso-voyance.com,,https://www.asso-voyance.com/sitemap_index.xml,robots.txt,ok,ok,True,30,pass-1,https://asso-voyance.com/robots.txt; https://www.asso-voyance.com/sitemap_index.xml
2,2000,2937,eref-152684,https://Asso.Cool,asso.cool,,https://asso.cool/sitemap_index.xml,robots.txt,ok,ok,True,49,pass-1,https://asso.cool/robots.txt; https://asso.cool/sitemap_index.xml
2,2000,2939,eref-116912,https://www.association-apml.fr,association-apml.fr,,https://www.association-apml.fr/sitemap.xml,common_path,ok,ok,True,441,pass-1,https://www.association-apml.fr/robots.txt; https://association-apml.fr/sitemap.xml; https://association-apml.fr/robots.txt; https://association-apml.fr/sitemap.xml; http://www.association-apml.fr/robots.txt; https://association-apml.fr/sitemap.xml; http://association-apml.fr/robots.txt; https://association-apml.fr/sitemap.xml; https://www.association-apml.fr/sitemap.xml
2,2000,2940,eref-74088,https://association-des-juristes-europeens.eu/,association-des-juristes-europeens.eu,,https://association-des-juristes-europeens.eu/sitemaps.xml,robots.txt,ok,ok,True,841,pass-1,https://association-des-juristes-europeens.eu/robots.txt; https://association-des-juristes-europeens.eu/sitemaps.xml
2,2000,2941,eref-297566,https://association-franco-malgache.com/,association-franco-malgache.com,,https://association-franco-malgache.com/sitemap.xml,robots.txt,ok,ok,True,56,pass-1,https://association-franco-malgache.com/robots.txt; https://association-franco-malgache.com/sitemap.xml
2,2000,2942,eref-97422,https://association-rainbow.fr,association-rainbow.fr,,https://www.association-rainbow.fr/sitemap_index.xml,robots.txt,ok,ok,True,562,pass-1,https://association-rainbow.fr/robots.txt; https://www.association-rainbow.fr/sitemap_index.xml
2,2000,2943,eref-73959,https://association-synergies.be,association-synergies.be,,https://association-synergies.be/sitemap_index.xml,robots.txt,ok,ok,True,148,pass-1,https://association-synergies.be/robots.txt; https://association-synergies.be/sitemap_index.xml
2,2000,2944,eref-146701,https://association.tel/blog,association.tel,,https://association.tel/sitemap/association.tel/activite/activite.xml,robots.txt,ok,ok,True,24,pass-1,https://www.association.tel/robots.txt; https://www.association.tel/blog/robots.txt; https://association.tel/robots.txt; https://association.tel/sitemap/association.tel/activite/activite.xml
2,2000,2945,eref-274142,https://associationethica.fr,associationethica.fr,,https://associationethica.fr/sitemap_index.xml,robots.txt,ok,ok,True,43,pass-1,https://www.associationethica.fr/robots.txt; https://associationethica.fr/sitemap_index.xml
2,2000,2946,eref-281353,https://associationferdinand.fr,associationferdinand.fr,,https://associationferdinand.fr/sitemap_index.xml,robots.txt,ok,ok,True,194,pass-1,https://associationferdinand.fr/robots.txt; https://associationferdinand.fr/sitemap_index.xml
2,2000,2947,eref-176694,https://associationletriangle.fr,associationletriangle.fr,,https://associationletriangle.fr/wp-sitemap.xml,robots.txt,ok,ok,True,310,pass-1,https://www.associationletriangle.fr/robots.txt; https://associationletriangle.fr/wp-sitemap.xml
2,2000,2948,eref-215420,https://www.associationmodeemploi.fr/,associationmodeemploi.fr,,https://www.associationmodeemploi.fr/sitemaps/index.xml,robots.txt,ok,ok,True,1,pass-1,https://www.associationmodeemploi.fr/robots.txt; https://www.associationmodeemploi.fr/sitemaps/index.xml
